keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko,_notes
TXT_CRAWLERBASE,"- Shoots a web projectile that damages and slows the first enemy it contacts
","- Dispara un proyectil de telaraña que daña y ralentiza al primer enemigo que toca","- 发射蛛网弹，对首个命中的敌人造成伤害并使其减速","- Стреляет паутиной, которая ранит и замедляет первого задетого врага","- Dispara um projétil de teia que fere e retarda o primeiro inimigo atingido","- Verschießt ein Netzgeschoss das den ersten getroffenen Gegner verletzt und verlangsamt","- 蜘蛛の巣の弾を発射し、最初に当たった敵にダメージと減速を与える","- Tire un projectile de toile qui blesse et ralentit le premier ennemi touché","- Strzela pociskiem z pajęczyny, który rani i spowalnia pierwszego trafionego wroga","- 거미줄 탄환을 발사해 처음 맞은 적에게 피해를 주고 느리게 만듭니다",res://_Assets/Text/TextFiles/Synergies/CrawlerBase.txt
TXT_CRAWLERHIVE,"Shoots in adjacent lanes.
","Dispara también en los carriles adyacentes.","可向相邻路线射击。","Стреляет и по соседним дорожкам.","Atira também nas pistas adjacentes.","Schießt auch in benachbarte Bahnen.","隣のレーンにも攻撃できる。","Tire aussi dans les voies adjacentes.","Strzela także w sąsiednich alejach.","인접한 길에도 공격합니다.",res://_Assets/Text/TextFiles/Synergies/CrawlerHive.txt
TXT_CRAWLERMAW,"Crawler periodically spawns a spiderling that runs down the lane.
","El Reptador genera periódicamente una arañita que recorre el carril.","爬行者会定期生成一只小蜘蛛，沿路线冲锋。","Ползун периодически порождает паучка, бегущего по дорожке.","O Rastejador gera periodicamente uma aranhinha que percorre a pista.","Der Kriecher erzeugt regelmäßig eine Jungspinne die die Bahn entlangläuft.","クローラーは定期的に子グモを生み、レーンを走らせる。","Le Rampant engendre régulièrement une araignée qui parcourt la voie.","Pełzacz co jakiś czas tworzy pajączka biegnącego wzdłuż alei.","크롤러가 주기적으로 새끼 거미를 낳아 길을 따라 달리게 합니다.",res://_Assets/Text/TextFiles/Synergies/CrawlerMaw.txt
TXT_CRAWLEROCCULUM,"Webbed enemies now give blood on death.
Range is increased.
Damage is increased.
","Los enemigos atrapados en telaraña ahora dan sangre al morir.
Mayor alcance.
Mayor daño.","被蛛网缠住的敌人死亡时会掉落鲜血。
射程提升。
伤害提升。","Опутанные враги теперь дают кровь после смерти.
Дальность увеличена.
Урон увеличен.","Inimigos presos na teia agora dão sangue ao morrer.
Alcance aumentado.
Dano aumentado.","Eingesponnene Gegner geben beim Tod jetzt Blut.
Erhöhte Reichweite.
Erhöhter Schaden.","巣に絡まった敵は倒すと血を落とすようになる。
射程アップ。
ダメージアップ。","Les ennemis englués donnent désormais du sang à leur mort.
Portée augmentée.
Dégâts augmentés.","Wrogowie w pajęczynie oddają teraz krew po śmierci.
Zwiększony zasięg.
Zwiększone obrażenia.","거미줄에 걸린 적이 죽을 때 피를 남깁니다.
사거리가 증가합니다.
피해량이 증가합니다.",res://_Assets/Text/TextFiles/Synergies/CrawlerOcculum.txt
TXT_CRAWLERSPINALOCCULUM,"Shots knock enemies back.
Increased health.
Shoots slower.
","Los disparos empujan a los enemigos hacia atrás.
Más salud.
Dispara más lento.","攻击可将敌人击退。
生命值提升。
射速降低。","Выстрелы отбрасывают врагов назад.
Здоровье увеличено.
Стреляет медленнее.","Os tiros empurram os inimigos para trás.
Mais vida.
Atira mais devagar.","Schüsse stoßen Gegner zurück.
Mehr Leben.
Schießt langsamer.","攻撃が敵をノックバックさせる。
体力アップ。
攻撃速度ダウン。","Les tirs repoussent les ennemis.
Santé accrue.
Tire plus lentement.","Strzały odpychają wrogów.
Większe zdrowie.
Strzela wolniej.","공격이 적을 밀쳐냅니다.
체력이 증가합니다.
공격 속도는 느려집니다.",res://_Assets/Text/TextFiles/Synergies/CrawlerSpinalOcculum.txt
TXT_CRAWLERWYRM,"Shots have a damaging lightning AOE.
Shoots slower.
","Los disparos generan un área de rayos dañina.
Dispara más lento.","攻击附带范围雷电伤害。
射速降低。","Выстрелы бьют молнией по площади.
Стреляет медленнее.","Os tiros causam dano elétrico em área.
Atira mais devagar.","Schüsse verursachen Blitz-Flächenschaden.
Schießt langsamer.","攻撃に範囲雷ダメージが付与される。
攻撃速度ダウン。","Les tirs infligent des dégâts de foudre de zone.
Tire plus lentement.","Strzały zadają obszarowe obrażenia od piorunów.
Strzela wolniej.","공격에 광역 번개 피해가 붙습니다.
공격 속도는 느려집니다.",res://_Assets/Text/TextFiles/Synergies/CrawlerWyrm.txt
TXT_HIVEBASE,"Spawns Syn-Wasps that stall zombies
","Genera avispas de Syn que frenan a los zombis","生成辛之黄蜂，拖住僵尸","Порождает ос Сина, задерживающих зомби","Gera vespas de Syn que atrasam os zumbis","Erzeugt Syn-Wespen die Zombies aufhalten","シンの蜂を生み出し、ゾンビを足止めする","Engendre des guêpes de Syn qui retiennent les zombies","Tworzy osy Syn zatrzymujące zombie","신의 말벌을 소환해 좀비를 저지합니다",res://_Assets/Text/TextFiles/Synergies/HiveBase.txt
TXT_HIVECRAWLER,"Enemies killed by the hive spawn a web slowing zone on their death
","Los enemigos que mata la colmena dejan al morir una zona de telaraña ralentizante","被蜂巢击杀的敌人死后会留下减速蛛网区域","Враги, убитые ульем, оставляют после смерти замедляющую паутину","Inimigos mortos pela colmeia deixam uma zona de teia que retarda","Vom Nest getötete Gegner hinterlassen beim Tod eine verlangsamende Netzzone","ハイブに倒された敵は死亡時に減速する巣の領域を残す","Les ennemis tués par la ruche laissent une zone de toile ralentissante","Wrogowie zabici przez ul zostawiają po śmierci spowalniającą pajęczynę","하이브에게 죽은 적은 죽을 때 감속 거미줄 지대를 남깁니다",res://_Assets/Text/TextFiles/Synergies/HiveCrawler.txt
TXT_HIVEMAW,"Hive gains healing over time, wasps gain damage the more damage they deal
","La colmena se cura con el tiempo; las avispas ganan daño cuanto más daño infligen","蜂巢获得持续治疗；黄蜂造成的伤害越多，攻击力越高","Улей исцеляется со временем; осы наносят тем больше урона, чем больше вреда причинили","A colmeia se cura ao longo do tempo; as vespas ganham dano conforme causam dano","Das Nest heilt sich mit der Zeit; Wespen erhalten mehr Schaden je mehr Schaden sie anrichten","ハイブは時間経過で回復し、蜂は与えたダメージに応じて攻撃力が上がる","La ruche se soigne avec le temps ; les guêpes gagnent en dégâts à mesure qu'elles en infligent","Ul leczy się z czasem; osy zyskują obrażenia im więcej ich zadają","하이브는 지속 회복을 얻고, 말벌은 피해를 줄수록 공격력이 오릅니다",res://_Assets/Text/TextFiles/Synergies/HiveMaw.txt
TXT_HIVEOCCULUM,"Increased Wasp Count x2, Wasps Give Blood On Death
Upgraded :
	- wasps give blood on death
","Número de avispas x2; las avispas dan sangre al morir
Mejorado :
	- las avispas dan sangre al morir","黄蜂数量 x2，黄蜂死亡时掉落鲜血
升级：
	- 黄蜂死亡时掉落鲜血","Число ос x2; осы дают кровь после смерти
Улучшено :
	- осы дают кровь после смерти","Número de vespas x2; vespas dão sangue ao morrer
Aprimorado :
	- vespas dão sangue ao morrer","Wespenanzahl x2; Wespen geben beim Tod Blut
Verbessert :
	- Wespen geben beim Tod Blut","蜂の数 x2、蜂は死亡時に血を落とす
強化：
	- 蜂は死亡時に血を落とす","Nombre de guêpes x2 ; les guêpes donnent du sang à leur mort
Amélioré :
	- les guêpes donnent du sang à leur mort","Liczba os x2; osy oddają krew po śmierci
Ulepszone :
	- osy oddają krew po śmierci","말벌 수 x2, 말벌이 죽을 때 피를 남깁니다
강화 :
	- 말벌이 죽을 때 피를 남깁니다",res://_Assets/Text/TextFiles/Synergies/HiveOcculum.txt
