keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko
Text/11/text,"Alright, they’re gone. Now tell me why in the world you would agree to this “deal.”","Vale, ya se han ido. Ahora dime por qué demonios aceptaste ese “trato”.","好了，他们走了。现在告诉我，你到底为什么会答应这个“交易”。","Так, они ушли. А теперь объясни, с какой стати ты согласилась на эту «сделку».","Certo, eles se foram. Agora me diga por que diabos você aceitaria esse “acordo”.","Okay, sie sind weg. Jetzt erklär mir mal, wieso um alles in der Welt du diesem „Deal“ zugestimmt hast.","よし、行ったわね。それで？なんでまた、あんたはその「取引」なんかに応じたわけ？","Bon, ils sont partis. Maintenant dis-moi pourquoi diable tu as accepté ce « marché ».","Dobra, poszli sobie. To teraz powiedz mi, czemu, na litość, zgodziłaś się na ten „układ”.","좋아, 다들 갔네. 그럼 이제 말해봐. 도대체 왜 그 “거래”에 응한 거야?"
Text/12/text,"I didn’t have any other choice. I was trapped in my room and the zombies were killing everyone. I had no hope of fighting back… but I swear, I didn’t know he would do this to us.","No tenía otra opción. Estaba atrapada en mi cuarto y los zombis estaban matando a todo el mundo. No tenía ninguna esperanza de defenderme… pero te juro que no sabía que nos haría esto.","我别无选择。我被困在房间里，僵尸在屠杀所有人。我根本没有反抗的希望……但我发誓，我不知道他会对我们做出这种事。","У меня не было выбора. Я была заперта в своей комнате, а зомби убивали всех подряд. У меня не было ни шанса отбиться… но клянусь, я не знала, что он сделает с нами такое.","Eu não tinha outra escolha. Estava presa no meu quarto e os zumbis estavam matando todo mundo. Não tinha esperança de reagir… mas eu juro, não sabia que ele faria isso conosco.","Ich hatte keine andere Wahl. Ich saß in meinem Zimmer fest und die Zombies haben alle umgebracht. Ich hatte keine Hoffnung mich zu wehren… aber ich schwöre, ich wusste nicht dass er uns das antun würde.","他に選択肢がなかったの。部屋に閉じ込められて、ゾンビがみんなを殺してた。戦う望みなんてなかった……でも誓って言うわ、彼が私たちにこんなことをするなんて知らなかった。","Je n'avais pas le choix. J'étais piégée dans ma chambre et les zombies tuaient tout le monde. Je n'avais aucun espoir de me défendre… mais je te jure, je ne savais pas qu'il nous ferait ça.","Nie miałam wyboru. Byłam uwięziona w pokoju, a zombie zabijały wszystkich. Nie miałam szans się bronić… ale przysięgam, nie wiedziałam, że on nam to zrobi.","다른 선택지가 없었어. 방에 갇혀 있었고 좀비들이 모두를 죽이고 있었단 말이야. 맞서 싸울 희망도 없었고… 하지만 맹세해, 그가 우리한테 이런 짓을 할 줄은 몰랐어."
Text/13/text,"“Us.” So it’s true then. We’re both Lucretia, right?","“Nos”, dices. Así que es verdad. Las dos somos Lucretia, ¿no?","“我们”。所以是真的了。我们俩都是卢克蕾西娅，对吧？","«С нами», значит. Выходит, это правда. Мы обе — Лукреция, так?","“Conosco.” Então é verdade. Nós duas somos Lucretia, né?","„Uns“. Dann stimmt es also. Wir sind beide Lucretia, oder?","「私たち」ね。じゃあ本当なんだ。あんたも私も、どっちもルクレツィアってわけ？","« Nous ». Alors c'est vrai. On est toutes les deux Lucretia, pas vrai ?","„Nam”. Czyli to prawda. Obie jesteśmy Lukrecją, tak?","“우리”라고? 그럼 사실이네. 우리 둘 다 루크레티아인 거지?"
Text/14/text,"In exchange for the powers, he asked to take half of my soul back to his home realm. I didn’t realize the other half would still be conscious, but… yeah.","A cambio de los poderes, pidió llevarse la mitad de mi alma a su reino natal. No sabía que la otra mitad seguiría consciente, pero… sí.","作为力量的代价，他要求把我一半的灵魂带回他的母界。我没想到另一半还会有意识，但……是的。","В обмен на силы он потребовал забрать половину моей души в свой родной мир. Я не думала, что вторая половина останется в сознании, но… да.","Em troca dos poderes, ele pediu para levar metade da minha alma ao reino dele. Eu não sabia que a outra metade continuaria consciente, mas… é.","Im Tausch gegen die Kräfte wollte er die Hälfte meiner Seele in sein Heimatreich mitnehmen. Mir war nicht klar dass die andere Hälfte bei Bewusstsein bleiben würde, aber… tja.","力と引き換えに、彼は私の魂の半分を故郷の界へ持ち帰ることを求めた。もう半分に意識が残るなんて思わなかったけど……まあ、そういうこと。","En échange des pouvoirs, il a demandé à emporter la moitié de mon âme dans son royaume natal. Je ne pensais pas que l'autre moitié resterait consciente, mais… voilà.","W zamian za moce zażądał połowy mojej duszy, którą zabrał do swojego świata. Nie wiedziałam, że druga połowa zachowa świadomość, ale… no właśnie.","힘의 대가로 그는 내 영혼의 절반을 자기 고향 세계로 가져가겠다고 했어. 나머지 절반에 의식이 남을 줄은 몰랐는데… 그렇게 됐네."
Text/15/text,"Home realm, huh? Yeah, that sounds about right. I can’t believe my other half would be so stupid.","Su reino natal, ¿eh? Sí, muy propio. No me puedo creer que mi otra mitad sea tan estúpida.","母界，是吗？呵，还真像那么回事。真不敢相信我的另一半会这么蠢。","Родной мир, значит? Ну да, похоже на правду. Поверить не могу, что моя вторая половина такая дура.","Reino dele, é? Pois é, faz sentido. Não acredito que minha outra metade seria tão burra.","Heimatreich, ja? Klingt ganz danach. Nicht zu fassen dass meine andere Hälfte so dumm sein kann.","故郷の界、ねえ？ま、いかにもって感じ。それにしても私のもう半分がここまでバカだったとはね。","Son royaume natal, hein ? Ouais, ça colle. J'arrive pas à croire que mon autre moitié soit aussi stupide.","Jego świat, tak? No jasne, pasuje. Nie mogę uwierzyć, że moja druga połowa jest aż tak głupia.","고향 세계라. 그래, 딱 그럴듯하네. 내 반쪽이 이렇게 멍청할 줄이야."
Text/16/text,Hey! Without these powers we’d both be dead. So you’re welcome.,"¡Oye! Sin estos poderes las dos estaríamos muertas. Así que de nada.","喂！要不是这些力量，我们俩早就死了。所以，不用谢。","Эй! Без этих сил мы обе были бы мертвы. Так что не за что.","Ei! Sem esses poderes nós duas estaríamos mortas. Então, de nada.","Hey! Ohne diese Kräfte wären wir beide tot. Also: gern geschehen.","ちょっと！この力がなかったら二人とも死んでたのよ。感謝してよね。","Hé ! Sans ces pouvoirs, on serait mortes toutes les deux. Alors de rien.","Ej! Bez tych mocy obie byłybyśmy martwe. Więc nie ma za co.","야! 이 힘이 없었으면 우리 둘 다 죽었어. 그러니까 고맙다는 말은 됐어."
Text/17/text,"No, we’re still good as dead! Having your mind split in two doesn’t seem real sustainable for daily functioning, if you ask me. And there’s no way I’m just staying here.","¡No, seguimos prácticamente muertas! Tener la mente partida en dos no parece muy sostenible para el día a día, si me preguntas. Y de ninguna manera pienso quedarme aquí.","不，我们还是跟死了差不多！要我说，脑子被劈成两半可不是能长久过日子的状态。而且我绝不会乖乖待在这里。","Нет, мы всё равно что мертвы! Разум, расколотый надвое, — не самое жизнеспособное состояние, если хочешь знать моё мнение. И я уж точно здесь не останусь.","Não, continuamos praticamente mortas! Ter a mente dividida em duas não parece nada sustentável para o dia a dia, se quer saber. E não tem a menor chance de eu ficar aqui.","Nein, wir sind so gut wie tot! Einen in zwei Hälften gespaltenen Verstand zu haben ist nicht gerade alltagstauglich, wenn du mich fragst. Und ich bleibe garantiert nicht einfach hier.","いいえ、まだ死んだも同然よ！心が真っ二つなんて、日常生活には到底向いてないと思うけど。それに、私はここに残る気なんてさらさらないから。","Non, on est toujours quasi mortes ! Avoir l'esprit coupé en deux, ça ne me semble pas très viable au quotidien, si tu veux mon avis. Et il est hors de question que je reste ici.","Nie, wciąż jesteśmy jedną nogą w grobie! Umysł rozdarty na pół to raczej kiepski przepis na codzienne funkcjonowanie, jeśli o mnie chodzi. I nie ma mowy, żebym tu została.","아니, 우린 여전히 죽은 거나 다름없어! 정신이 반으로 쪼개진 채로 일상을 살 수 있을 리가 없잖아. 그리고 난 절대 여기 가만히 있지 않을 거야."
Text/18/text,Well what could we even do? Where would you even go?,"¿Y qué podríamos hacer? ¿Adónde irías siquiera?","那我们还能做什么？你又能去哪儿？","И что мы можем сделать? Куда ты вообще пойдёшь?","E o que a gente poderia fazer? Aonde você iria, afinal?","Und was sollen wir schon tun? Wo willst du überhaupt hin?","って言っても、何ができるのよ？そもそもどこへ行くつもり？","Mais qu'est-ce qu'on pourrait bien faire ? Et tu irais où, d'abord ?","No a co niby możemy zrobić? Dokąd ty w ogóle pójdziesz?","그래서 뭘 어쩌겠다는 거야? 대체 어딜 가려고?"
Text/19/text,"You find Argus, and get him to undo your stupid deal. And in the meantime, I’ll try to find a way back to your realm. Maybe go to that huge statue in the distance. That looks super ominous and important, right?","Tú busca a Argus y haz que deshaga tu estúpido trato. Mientras, yo intentaré encontrar un camino de vuelta a tu mundo. Quizá vaya a esa estatua enorme a lo lejos. Se ve superominosa e importante, ¿no?","你去找阿古斯，让他撤销你那愚蠢的交易。与此同时，我会想办法回到你的世界。也许去远处那座巨大的雕像看看。它看起来又不祥又重要，对吧？","Ты найдёшь Аргуса и заставишь его расторгнуть твою дурацкую сделку. А я тем временем поищу путь обратно в твой мир. Может, схожу к той огромной статуе вдалеке. Выглядит зловеще и явно важно, да?","Você acha o Argus e o faz desfazer seu acordo idiota. Enquanto isso, vou tentar achar um caminho de volta ao seu mundo. Talvez ir até aquela estátua enorme ao longe. Parece super sinistra e importante, né?","Du findest Argus und bringst ihn dazu deinen dämlichen Deal rückgängig zu machen. Ich versuche derweil einen Weg zurück in deine Welt zu finden. Vielleicht gehe ich zu dieser riesigen Statue in der Ferne. Die sieht doch super unheilvoll und wichtig aus, oder?","あんたはアーガスを見つけて、そのバカな取引を取り消させる。その間に私は、あんたの世界へ戻る方法を探すわ。遠くに見えるあのデカい像にでも行ってみようかな。いかにも不吉で重要そうでしょ？","Toi, tu trouves Argus et tu lui fais annuler ton stupide marché. Pendant ce temps, je chercherai un moyen de retourner dans ton monde. Peut-être aller voir cette statue géante au loin. Elle a l'air super sinistre et importante, non ?","Ty znajdź Argusa i zmuś go, żeby cofnął twój głupi układ. A ja w tym czasie poszukam drogi powrotnej do twojego świata. Może pójdę do tego wielkiego posągu w oddali. Wygląda strasznie złowieszczo i ważnie, co nie?","넌 아르구스를 찾아서 그 멍청한 거래를 무르게 해. 그동안 난 네 세계로 돌아갈 방법을 찾아볼게. 저 멀리 보이는 거대한 조각상에 가볼까 봐. 엄청 불길하고 중요해 보이잖아, 그치?"
Text/1a/text,"Alright. Fine. I don't know how the hell I’m supposed to convince an otherworldly entity to just “undo” everything, but we don’t really have any other choice. Let’s do this.","Vale. Está bien. No sé cómo demonios voy a convencer a una entidad de otro mundo de que simplemente lo “deshaga” todo, pero no tenemos otra opción. Vamos allá.","好吧。行。我不知道到底要怎么说服一个异界存在把一切“撤销”，但我们也没有别的选择了。干吧。","Ладно. Хорошо. Понятия не имею, как убедить потустороннюю сущность просто взять и всё «отменить», но выбора у нас всё равно нет. За дело.","Tá. Beleza. Não sei como diabos vou convencer uma entidade de outro mundo a simplesmente “desfazer” tudo, mas não temos outra escolha mesmo. Vamos nessa.","Okay. Na schön. Ich habe keine Ahnung wie zur Hölle ich ein außerweltliches Wesen überzeugen soll einfach alles „rückgängig“ zu machen, aber wir haben wirklich keine andere Wahl. Ziehen wir's durch.","わかった。いいわよ。異界の存在にすべてを「取り消させる」なんてどうすればいいのか見当もつかないけど、他に選択肢はないものね。やるしかない。","Bon. D'accord. Je ne sais pas comment diable je suis censée convaincre une entité d'un autre monde de tout « annuler », mais on n'a pas vraiment le choix. Allons-y.","Dobra. Niech będzie. Nie mam pojęcia, jak niby mam przekonać istotę z innego świata, żeby po prostu wszystko „cofnęła”, ale nie mamy innego wyjścia. Do dzieła.","알았어. 좋아. 이세계의 존재를 어떻게 설득해서 모든 걸 “무르게” 할지 도무지 모르겠지만, 달리 방법이 없잖아. 해보자."
Text/1b/text,"We made a deal, Argus and I.","Hicimos un trato, Argus y yo.","我和阿古斯做了一笔交易。","Мы заключили сделку — Аргус и я.","Fizemos um acordo, Argus e eu.","Wir haben einen Deal gemacht, Argus und ich.","取引をしたの。アーガスと、私とで。","On a passé un marché, Argus et moi.","Zawarłyśmy układ — Argus i ja.","거래를 했어. 아르구스와 나 말이야."
Text/1c/text,"You’re telling me that guy – no, that monster – that just appeared, you agreed to let him do this to us?","¿Me estás diciendo que ese tipo –no, ese monstruo– que acaba de aparecer… le dejaste hacernos esto?","你是说，刚才出现的那个人——不，那个怪物——你居然同意让他对我们做这种事？","То есть тот тип — нет, то чудовище, — что только что явилось… ты сама позволила ему сделать с нами такое?","Você tá me dizendo que aquele cara – não, aquele monstro – que acabou de aparecer, você concordou em deixar ele fazer isso conosco?","Willst du mir sagen dass dieser Typ – nein, dieses Monster – das gerade erschienen ist… du hast zugestimmt dass er uns das antut?","つまり、さっき現れたあの男——いいえ、あの化け物に——あんたは私たちをこんな目に遭わせることを許したっての？","Tu es en train de me dire que ce type – non, ce monstre – qui vient d'apparaître, tu as accepté qu'il nous fasse ça ?","Chcesz mi powiedzieć, że ten facet – nie, ten potwór – który się właśnie pojawił… zgodziłaś się, żeby nam to zrobił?","그러니까 방금 나타난 그 남자… 아니, 그 괴물이 우리한테 이런 짓을 하도록 네가 허락했다는 거야?"
Text/1d/text,…Yes.,…Sí.,……是的。,…Да.,…Sim.,…Ja.,……ええ。,…Oui.,…Tak.,…응.
Text/1e/text,"So you’re the reason I’m here, trapped in this eldritch hellscape–","Así que tú eres la razón de que esté aquí, atrapada en este infierno sobrenatural…","所以我被困在这个诡异的地狱里，都是因为你——","Значит, это из-за тебя я торчу здесь, в этом потустороннем аду…","Então você é o motivo de eu estar aqui, presa nesse inferno sobrenatural–","Du bist also der Grund warum ich hier bin, gefangen in dieser unheimlichen Höllenlandschaft–","じゃあ、私がこの不気味な地獄に閉じ込められてるのは、あんたのせい——","Alors c'est à cause de toi que je suis ici, piégée dans ce paysage d'enfer surnaturel…","Czyli to przez ciebie tu jestem, uwięziona w tym niesamowitym piekle…","그러니까 내가 이 기괴한 지옥에 갇혀 있는 게 다 너 때문이라는 거네…"
Text/1f/text,"Well, technically, we both are–","Bueno, técnicamente, las dos lo estamos…","这个嘛，严格来说，我们俩都被困住了——","Ну, строго говоря, мы обе тут…","Bem, tecnicamente, nós duas estamos–","Na ja, streng genommen sind wir das beide–","えっと、厳密には、二人ともそうなんだけど——","Enfin, techniquement, on l'est toutes les deux…","No, technicznie rzecz biorąc, obie jesteśmy…","그게, 엄밀히 말하면 우리 둘 다…"
Text/20/text,LOOK AT WHAT YOU’VE DONE TO ME!,¡MIRA LO QUE ME HAS HECHO!,看看你对我做了什么！,"ПОСМОТРИ, ЧТО ТЫ СО МНОЙ СДЕЛАЛА!",OLHA O QUE VOCÊ FEZ COMIGO!,SIEH DIR AN WAS DU MIR ANGETAN HAST!,私に何をしたか見なさいよ！,REGARDE CE QUE TU M'AS FAIT !,"ZOBACZ, CO MI ZROBIŁAŚ!",네가 나한테 무슨 짓을 했는지 좀 봐!
Text/21/text,"Aughhhh, stop shouting! My head feels like it’s being split in two!","Aghhh, ¡deja de gritar! ¡Siento que la cabeza se me parte en dos!","啊——别喊了！我的头感觉要裂成两半了！","А-а-а, хватит орать! У меня голова будто раскалывается надвое!","Aaargh, para de gritar! Minha cabeça parece que está se partindo em duas!","Aaahhh, hör auf zu schreien! Mein Kopf fühlt sich an als würde er in zwei Hälften gespalten!","うぅぅ、叫ぶのやめて！頭が真っ二つに割れそう！","Aaargh, arrête de crier ! J'ai l'impression qu'on me fend le crâne en deux !","Aaaa, przestań krzyczeć! Czuję, jakby moja głowa pękała na pół!","으아아, 소리 좀 그만 질러! 머리가 반으로 쪼개지는 것 같단 말이야!"
Text/22/text,WHY? Why would you do this?,"¿POR QUÉ? ¿Por qué harías algo así?",为什么？你为什么要这么做？,ПОЧЕМУ? Зачем ты это сделала?,POR QUÊ? Por que você faria isso?,WARUM? Warum hast du das getan?,どうして？なんでこんなことしたのよ？,POURQUOI ? Pourquoi tu as fait ça ?,DLACZEGO? Czemu to zrobiłaś?,왜? 대체 왜 그런 짓을 한 거야?
Text/23/text,"Just give me a minute and I can explain…Shit, there’s more coming.","Dame un minuto y te lo explico… Mierda, vienen más.","给我一分钟，我可以解释……糟了，又来了一波。","Дай мне минуту, я всё объясню… Чёрт, ещё идут.","Só me dá um minuto que eu explico… Merda, tem mais vindo.","Gib mir eine Minute, dann erkläre ich alles… Mist, da kommen noch mehr.","ちょっと待って、説明するから……クソッ、まだ来る。","Laisse-moi une minute et je t'explique… Merde, il en arrive d'autres.","Daj mi chwilę, to wyjaśnię… Cholera, idą następne.","잠깐만 시간을 줘, 설명할게… 젠장, 더 몰려온다."
Text/24/text,"Ugh, you’re right. After this, you and I are gonna have a loooong chat about how to fix your mess.","Uf, tienes razón. Después de esto, tú y yo vamos a tener una laaarga charla sobre cómo arreglar tu desastre.","呃，你说得对。等这波过去，你我可得好好长谈一番，聊聊怎么收拾你的烂摊子。","Ух, ты права. Но потом нас с тобой ждёт до-о-олгий разговор о том, как разгребать твой бардак.","Ugh, você tem razão. Depois dessa, você e eu vamos ter uma looonga conversa sobre como consertar a sua bagunça.","Ugh, du hast recht. Danach führen wir beide ein laaanges Gespräch darüber wie wir dein Chaos beseitigen.","うぅ、わかったわよ。これが終わったら、あんたの尻拭いをどうするか、じーっくり話し合いましょうね。","Pff, tu as raison. Après ça, toi et moi on va avoir une looongue discussion sur comment réparer ton bazar.","Ech, masz rację. Ale potem czeka nas dłuuuga rozmowa o tym, jak posprzątać twój bałagan.","윽, 네 말이 맞아. 이거 끝나면 네가 저지른 사고를 어떻게 수습할지 기이인 대화 좀 해야겠어."
Text/25/text,"Shit, you’re letting him get away!","Mierda, ¡le estás dejando escapar!","该死，你要让他跑了！","Чёрт, ты же даёшь ему уйти!","Merda, você está deixando ele escapar!","Mist, du lässt ihn entkommen!","クソッ、逃げられちゃうわよ！","Merde, tu le laisses s'échapper !","Cholera, pozwalasz mu uciec!","젠장, 그놈을 놓치고 있잖아!"
