keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko,_notes
TXT_BASICOFFENSIVEDEFENSE,"Harness [b]blood[/b] from [b]eye[/b] summons and killing zombies 
 
Use [b]blood[/b] to create a mix of a offensive and defensive summons to best the zombie 
horde
 
For info on upcoming waves, hover over the skull wave preview icon on the right 
",,,,,,,,,,res://_Assets/Text/TextFiles/basicOffensiveDefense.txt
TXT_BLOODBUFFTUTORIAL,"Certain [b]demons[/b] have the ability to apply [b]blood buffs[/b] to other [b]demons[/b]. This means that when a compatible [b]demon[/b] is placed in the [b]blood buff[/b] area of another [b]demon[/b], a special interaction will occur, making the [b]demons[/b] stronger.
 
",,,,,,,,,,res://_Assets/Text/TextFiles/BloodBuffTutorial.txt
TXT_BLOODBUFFTUTORIAL12,"[b]blood buffs[/b] are powerful buffs Demons can give to eachother denoted by the red squares around a demon when placing it. Place Demons in eachtothers [b]blood buff[/b] zones for powerful effects and transformations. Experiment! Or else . . . 
",,,,,,,,,,res://_Assets/Text/TextFiles/BloodBuffTutorial12.txt
TXT_BLOODBUFFTUTORIAL2,"Eggwyrms can apply buffs to Occular Spine's, resulting in the Spine having increased health regeneration and the EggWyrm's beam becoming empowered when it passes through the spine.

Place an Occular Spine within two tiles to the right of the EggWyrm
","Los EggWyrm pueden potenciar a las Espinas Oculares: la Espina regenera más salud y el rayo del EggWyrm se refuerza al atravesarla.

Coloca una Espina Ocular a menos de dos casillas a la derecha del EggWyrm
","卵蠕龙可以强化眼脊柱：脊柱的生命回复提升，而卵蠕龙的光束穿过脊柱时也会得到强化。

在卵蠕龙右侧两格以内放置一个眼脊柱
","Яйце-Змии могут усиливать Окулярные Хребты: у Хребта ускоряется восстановление здоровья, а луч Змия, проходя сквозь него, становится мощнее.

Поставьте Окулярный Хребет в пределах двух клеток справа от Яйце-Змия
","EggWyrms podem fortalecer Espinhas Oculares: a Espinha regenera mais vida e o raio do EggWyrm fica mais forte ao atravessá-la.

Coloque uma Espinha Ocular até duas casas à direita do EggWyrm
","EggWyrms können Augendorne verstärken: Der Dorn regeneriert mehr Leben und der Strahl des EggWyrms wird beim Durchqueren des Dorns mächtiger.

Platziere einen Augendorn höchstens zwei Felder rechts vom EggWyrm
","エッグワームはオキュラースパインを強化できる。スパインの体力再生が上がり、エッグワームのビームはスパインを通過すると強化される。

エッグワームの右2マス以内にオキュラースパインを配置しよう
","Les EggWyrms peuvent renforcer les Épines Oculaires : l'Épine régénère plus de santé et le rayon de l'EggWyrm se renforce en la traversant.

Placez une Épine Oculaire à deux cases maximum à droite de l'EggWyrm
","EggWyrmy mogą wzmacniać Oczne Kręgi: Kręg szybciej regeneruje zdrowie, a promień EggWyrma przechodzący przez niego staje się potężniejszy.

Postaw Oczny Kręg w odległości do dwóch pól na prawo od EggWyrma
","에그웜은 오큘러 스파인을 강화할 수 있습니다. 스파인의 체력 재생이 빨라지고, 에그웜의 광선이 스파인을 통과하면 강화됩니다.

에그웜 오른쪽 두 칸 이내에 오큘러 스파인을 배치하세요
",res://_Assets/Text/TextFiles/BloodBuffTutorial2.txt
TXT_BLOODBUFFTUTORIAL3,"Blood Buffs can have powerful effects that shouldn't be ignored. Eyes give general stat buffs to all summons in a one tile radius, while most other summons are more specific. Read up on specific combinations in the [b]codex[/b].
",,,,,,,,,,res://_Assets/Text/TextFiles/BloodBuffTutorial3.txt
TXT_BUCKETHEADTUTORIAL,"Zombies that were once great warriors in life, now granted a sword of hell energy in death, enabling them to deal massive damage.

- Slower than regular zombie
- High health
- High Damage
","Zombis que en vida fueron grandes guerreros y que en la muerte recibieron una espada de energía infernal con la que causan un daño enorme.

- Más lento que el zombi normal
- Mucha salud
- Mucho daño
","生前曾是伟大战士的僵尸，死后被授予地狱能量之剑，可造成巨额伤害。

- 比普通僵尸更慢
- 高生命
- 高伤害
","Зомби, что при жизни были великими воинами, а после смерти получили меч адской энергии, наносящий сокрушительный урон.

- Медленнее обычного зомби
- Много здоровья
- Высокий урон
","Zumbis que em vida foram grandes guerreiros e, na morte, receberam uma espada de energia infernal capaz de causar dano massivo.

- Mais lento que o zumbi comum
- Muita vida
- Dano alto
","Zombies die zu Lebzeiten große Krieger waren und im Tod ein Schwert aus Höllenenergie erhielten mit dem sie gewaltigen Schaden anrichten.

- Langsamer als normale Zombies
- Viel Leben
- Hoher Schaden
","生前は偉大な戦士だったゾンビ。死後、地獄のエネルギーの剣を授かり、莫大なダメージを与えてくる。

- 通常のゾンビより遅い
- 高体力
- 高攻撃力
","Des zombies jadis grands guerriers, dotés dans la mort d'une épée d'énergie infernale qui leur permet d'infliger des dégâts colossaux.

- Plus lent qu'un zombie ordinaire
- Santé élevée
- Dégâts élevés
","Zombie, które za życia były wielkimi wojownikami, a po śmierci otrzymały miecz piekielnej energii zadający ogromne obrażenia.

- Wolniejszy od zwykłego zombie
- Duże zdrowie
- Duże obrażenia
","생전에 위대한 전사였던 좀비로, 죽어서 지옥 에너지의 검을 받아 어마어마한 피해를 입힙니다.

- 일반 좀비보다 느림
- 높은 체력
- 높은 공격력
",res://_Assets/Text/TextFiles/BucketHeadTutorial.txt
TXT_CODEXSELECTEXPLAIN,"All encountered Demons , Zombies, and Blood Buffs are documented in the codex.

Check it out now!
","Todos los demonios, zombis y mejoras de sangre que encuentres quedan registrados en el códice.

¡Échale un vistazo!
","所有遇到过的恶魔、僵尸和鲜血增益都会记录在图鉴中。

现在就去看看吧！
","Все встреченные демоны, зомби и кровавые усиления заносятся в кодекс.

Загляните в него прямо сейчас!
","Todos os demônios, zumbis e bênçãos de sangue encontrados ficam registrados no códice.

Confira agora!
","Alle angetroffenen Dämonen, Zombies und Blut-Buffs werden im Kodex festgehalten.

Sieh gleich mal rein!
","遭遇した悪魔、ゾンビ、血の強化はすべてコデックスに記録される。

さっそく確認してみよう！
","Tous les démons, zombies et bonus de sang rencontrés sont consignés dans le codex.

Jetez-y un œil !
","Wszystkie napotkane demony, zombie i krwawe wzmocnienia trafiają do kodeksu.

Zajrzyj do niego teraz!
","조우한 모든 악마, 좀비, 피의 강화는 코덱스에 기록됩니다.

지금 확인해 보세요!
",res://_Assets/Text/TextFiles/CodexSelectExplain.txt
TXT_CONEHEADTUTORIAL,"[b]severed[/b] have had their inner mutation evolve out of control
due to loosing there brains.

Stronger and faster than basic zombies. 
",,,,,,,,,,res://_Assets/Text/TextFiles/ConeheadTutorial.txt
TXT_CRAWLERMAWBUFF,"Spyders can give [b]maws[/b] a buff that causes them to release an AOE explosion of slowing webs on death.
",,,,,,,,,,res://_Assets/Text/TextFiles/CrawlerMawBuff.txt
TXT_CRAWLERTUTORIAL,"[b]spyders[/b] provide basic offense
 
They shoot web balls that damage and slow enemies 
 
Click the [b]spyder[/b] to select it 
Click a tile to place it 
",,,,,,,,,,res://_Assets/Text/TextFiles/CrawlerTutorial.txt
