keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko,_notes
ABILITY_BLOOD_RAIN_TITLE,BLOOD RAIN,LLUVIA DE SANGRE,血雨,КРОВАВЫЙ ДОЖДЬ,CHUVA DE SANGUE,BLUTREGEN,ブラッドレイン,PLUIE DE SANG,KRWAWY DESZCZ,피의 비,Swap ability name (panel header)
ABILITY_BLOOD_RAIN_DESC,Summon a storm of blood slowing all zombies on the screen,Invoca una tormenta de sangre que ralentiza a todos los zombis en pantalla,召唤血之风暴，减缓屏幕上所有僵尸的速度,Призывает кровавую бурю: все зомби на экране замедляются,Invoca uma tempestade de sangue que retarda todos os zumbis na tela,Beschwört einen Blutsturm; alle Zombies auf dem Bildschirm werden verlangsamt,血の嵐を呼び、画面上のすべてのゾンビを減速させる,Invoque une tempête de sang qui ralentit tous les zombies à l'écran,Przyzywa krwawą burzę spowalniającą wszystkie zombie na ekranie,피의 폭풍을 소환해 화면의 모든 좀비를 느리게 만듭니다,Swap ability description
ABILITY_LIGHTNING_STORM_TITLE,LIGHTNING STORM,TORMENTA ELÉCTRICA,雷暴,ГРОЗОВОЙ ШТОРМ,TEMPESTADE DE RAIOS,BLITZSTURM,ライトニングストーム,ORAGE FOUDROYANT,BURZA PIORUNÓW,번개 폭풍,Swap ability name (was BLOOD RAIN copy-paste bug in code)
ABILITY_LIGHTNING_STORM_DESC,Summon a storm of lightning damaging zombies at random,Invoca una tormenta de rayos que daña zombis al azar,召唤雷电风暴，随机打击僵尸,Призывает грозу: молнии бьют по случайным зомби,Invoca uma tempestade de raios que atinge zumbis aleatoriamente,Beschwört ein Blitzgewitter das zufällige Zombies trifft,稲妻の嵐を呼び、ランダムなゾンビにダメージを与える,Invoque un orage dont la foudre frappe des zombies au hasard,Przyzywa burzę piorunów rażącą losowe zombie,번개 폭풍을 소환해 무작위 좀비에게 피해를 줍니다,Swap ability description
ABILITY_LUCRETIA_GRASP_TITLE,GRASP OF LUCRETIA,GARRA DE LUCRETIA,卢克蕾西娅之攫,ХВАТКА ЛУКРЕЦИИ,GARRA DE LUCRETIA,GRIFF DER LUCRETIA,ルクレツィアの魔手,ÉTREINTE DE LUCRETIA,CHWYT LUKRECJI,루크레티아의 손아귀,Swap ability name; Lucretia is a character name — do not translate it
ABILITY_LUCRETIA_GRASP_DESC,Summon forth hands that cross the screen and flip zombie allegiances,Invoca manos que cruzan la pantalla y cambian el bando de los zombis,召唤横越屏幕的魔手，逆转僵尸的阵营,"Призывает руки, пересекающие экран и переманивающие зомби на вашу сторону",Invoca mãos que cruzam a tela e mudam o lado dos zumbis,Beschwört Hände die über den Bildschirm ziehen und Zombies die Seite wechseln lassen,画面を横切る魔手を呼び出し、ゾンビを寝返らせる,Invoque des mains qui traversent l'écran et retournent l'allégeance des zombies,Przyzywa dłonie przemierzające ekran i zmieniające lojalność zombie,화면을 가로지르는 손을 소환해 좀비를 아군으로 돌립니다,Swap ability description
ABILITY_BAAL_GAZE_TITLE,GAZE OF BAAL,MIRADA DE BAAL,巴力凝视,ВЗОР ВААЛА,OLHAR DE BAAL,BLICK DES BAAL,バアルの凝視,REGARD DE BAAL,SPOJRZENIE BAALA,바알의 응시,Swap ability name; Baal is a character name — do not translate it
ABILITY_BAAL_GAZE_DESC,Summon a [REDACTED] for assistance,Invoca un [CENSURADO] para que te ayude,召唤一位[数据删除]前来援助,Призывает [ЗАСЕКРЕЧЕНО] вам на подмогу,Invoca um [CENSURADO] para ajudar,Beschwört einen [ZENSIERT] zur Unterstützung,[検閲済み]を召喚して助けてもらう,Invoque un [CENSURÉ] en renfort,Przyzywa [UTAJNIONE] na pomoc,[검열됨]을 소환해 도움을 받습니다,Swap ability description; keep [REDACTED] styling (deliberate mystery)
ABILITY_LIGHTNING_STRIKE_TITLE,Lightning Strike,Impacto de rayo,落雷,Удар молнии,Golpe de Raio,Blitzschlag,ライトニングストライク,Frappe foudroyante,Uderzenie pioruna,낙뢰,Syn ability name
ABILITY_LIGHTNING_STRIKE_DESC,Summon a bolt of lightning in a location,Invoca un rayo en el lugar elegido,在指定位置召唤一道闪电,Призывает молнию в указанную точку,Invoca um raio no local escolhido,Beschwört einen Blitz an einer Position,指定した場所に稲妻を落とす,Invoque un éclair à l'endroit choisi,Przyzywa piorun we wskazane miejsce,지정한 위치에 번개를 내리칩니다,Syn ability description
